artist,patternId,previewImage,palette,templateId
davidgav,2443045,http://colourlovers.com.s3.amazonaws.com/images/patterns/2443/2443045.png,2C3C22 68480F 633B17 510200,179479
davidgav,2438104,http://colourlovers.com.s3.amazonaws.com/images/patterns/2438/2438104.png,1B1818 E80F0F,none
davidgav,2439624,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439624.png,342C2A 454239 D7CEB1 464D60 647F8A,178618
davidgav,2439405,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439405.png,FBFBFB C10909 2B2929,none
davidgav,2439413,http://colourlovers.com.s3.amazonaws.com/images/patterns/2439/2439413.png,FFFFFF 3C2B2B,179009
davidgav,2442617,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442617.png,313131 FEFEFE 427633 BC0000,179457
davidgav,2441603,http://colourlovers.com.s3.amazonaws.com/images/patterns/2441/2441603.png,1B66A8 E24723 666666 333333 000000,179185
davidgav,2442622,http://colourlovers.com.s3.amazonaws.com/images/patterns/2442/2442622.png,140723 4F173E A85F68 ECD4BC,179457
sugary,2036731,http://colourlovers.com.s3.amazonaws.com/images/patterns/2036/2036731.png,FCEBBE ED430F AD1D67 04BF93 270D1A,124965
sugary,2503698,http://colourlovers.com.s3.amazonaws.com/images/patterns/2503/2503698.png,EFD88B FE4D83 10C4C0 E5D3BB 433B50,186947
sugary,1914411,http://colourlovers.com.s3.amazonaws.com/images/patterns/1914/1914411.png,F5F4E4 51CDC8 FBB963 F45673 65556E,105065
sugary,1649330,http://colourlovers.com.s3.amazonaws.com/images/patterns/1649/1649330.png,30233E 2BFDEF FBE553 F57D49 442B5C,83400
sugary,2125817,http://colourlovers.com.s3.amazonaws.com/images/patterns/2125/2125817.png,1D1929 FE5324 A8143A 66A595 CFBD81,81599
sugary,2268759,http://colourlovers.com.s3.amazonaws.com/images/patterns/2268/2268759.png,FDF7E3 FAC960 910B0B FF226B 26203A,80833
sugary,2390021,http://colourlovers.com.s3.amazonaws.com/images/patterns/2390/2390021.png,FF2D59 FBDFB2 8AB19D FFB543 1E192B,172151
sugary,2157667,http://colourlovers.com.s3.amazonaws.com/images/patterns/2157/2157667.png,EEECE1 ABC8C3 6E7C94 53495B 2A2827,140589
sugary,1562230,http://colourlovers.com.s3.amazonaws.com/images/patterns/1562/1562230.png,181430 11FBEC D6FDAB CD66FC FC6194,75752
sugary,1332476,http://colourlovers.com.s3.amazonaws.com/images/patterns/1332/1332476.png,1F4736 776303 66E999 AEB447 262919,47737
sugary,2488107,http://colourlovers.com.s3.amazonaws.com/images/patterns/2488/2488107.png,FAF5DA F5CCAB 97C6BB E96749 453228,180661
sugary,2720470,http://colourlovers.com.s3.amazonaws.com/images/patterns/2720/2720470.png,362C41 FA833C FAE5B2 E1025B 749F91,215285
sugary,2615421,http://colourlovers.com.s3.amazonaws.com/images/patterns/2615/2615421.png,B5C2BD E27B9B FEB7B7 B49A9A FFEFD1,203631
sugary,2046485,http://colourlovers.com.s3.amazonaws.com/images/patterns/2046/2046485.png,383040 DF4E70 39C5BC FEB77D D2C1A9,126130
